Player Moves
TURN 303: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 304: Time taken: 4.0531158447265625e-06                   Action: Move to (42, 72) Collided with obstacle 45
TURN 305: Time taken: 7.152557373046875e-06                    Action: Move to (41, 71) Cannot move as wait time = 10
TURN 306: Time taken: 5.245208740234375e-06                    Action: Move to (42, 72) Cannot move as wait time = 9
TURN 307: Time taken: 4.0531158447265625e-06                   Action: Move to (42, 72) Cannot move as wait time = 8
TURN 308: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as wait time = 7
TURN 309: Time taken: 1.0013580322265625e-05                   Action: Move to (43, 71) Cannot move as wait time = 6
TURN 310: Time taken: 5.0067901611328125e-06                   Action: Move to (41, 71) Cannot move as wait time = 5
TURN 311: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as wait time = 4
TURN 312: Time taken: 4.0531158447265625e-06                   Action: Move to (41, 71) Cannot move as wait time = 3
TURN 313: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as wait time = 2
TURN 314: Time taken: 5.0067901611328125e-06                   Action: Move to (43, 71) Cannot move as wait time = 1
TURN 315: Time taken: 5.0067901611328125e-06                   Action: Move to (41, 71)
TURN 316: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 317: Time taken: 1.0013580322265625e-05                   Action: Move to (41, 72)
TURN 318: Time taken: 3.814697265625e-06                       Action: Move to (41, 73)
TURN 319: Time taken: 9.059906005859375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 320: Time taken: 4.0531158447265625e-06                   Action: Move to (42, 73) Collided with obstacle 45
TURN 321: Time taken: 7.152557373046875e-06                    Action: Move to (40, 73) Cannot move as wait time = 10
TURN 322: Time taken: 1.9073486328125e-06                      Action: Move to (42, 73) Cannot move as wait time = 9
TURN 323: Time taken: 5.245208740234375e-06                    Action: Move to (42, 73) Cannot move as wait time = 8
TURN 324: Time taken: 5.245208740234375e-06                    Action: Move to (41, 74) Cannot move as wait time = 7
